SaleID,ProductID,CustomerID,StoreID,Date,Quantity,UnitPrice
1,73,127,3,2023-10-25,4,508.1
2,53,457,1,2024-11-07,3,955.45
3,9,135,4,2023-11-08,2,109.25
4,74,114,2,2024-08-05,2,386.72
5,52,264,1,2023-02-24,3,519.4
6,57,64,1,2024-11-24,4,963.48
7,26,491,4,2024-06-17,4,509.27
8,41,135,4,2023-04-15,2,777.52
9,35,41,3,2023-06-24,4,751.79
10,63,296,2,2023-10-21,4,570.78
11,25,3,3,2024-07-04,2,139.4
12,90,401,3,2024-01-10,1,226.57
13,75,194,1,2024-03-25,2,247.74
14,38,463,4,2024-03-20,3,48.27
15,2,110,1,2023-03-01,1,385.43
16,7,221,2,2024-01-27,3,614.41
17,82,370,3,2024-01-25,1,152.82
18,34,368,2,2023-07-31,1,183.29
19,17,436,4,2024-10-28,2,709.92
20,43,406,4,2024-11-15,2,177.56
21,59,4,5,2024-06-18,3,143.98
22,51,244,2,2023-08-28,2,978.06
23,54,390,1,2024-05-02,1,24.59
24,24,166,2,2024-12-21,2,332.15
25,25,26,3,2023-05-02,3,44.59
26,71,395,4,2023-09-10,1,839.67
27,52,474,4,2023-05-21,3,587.7
28,70,17,2,2024-03-27,4,57.47
29,88,216,2,2023-06-02,2,619.21
30,33,92,2,2024-12-26,1,131.87
31,49,483,3,2023-11-04,3,500.78
32,29,31,3,2024-07-13,2,672.72
33,63,205,1,2023-11-13,2,157.02
34,22,419,2,2024-06-12,3,502.08
35,26,400,1,2023-10-23,1,462.84
36,28,207,5,2023-12-11,3,916.59
37,85,107,3,2024-08-03,2,995.74
38,49,146,4,2024-08-19,3,657.93
39,71,367,5,2023-10-09,4,856.31
40,81,101,4,2023-07-27,2,650.41
41,84,368,5,2024-07-05,1,877.52
42,49,318,1,2023-04-06,4,438.94
43,20,368,1,2024-03-27,3,611.91
44,86,241,3,2024-01-08,1,846.72
45,63,489,4,2024-10-09,4,918.9
46,61,411,5,2023-03-14,3,34.44
47,49,247,2,2024-11-11,4,112.91
48,71,163,2,2023-11-29,2,931.86
49,1,372,3,2024-01-28,1,572.82
50,13,173,4,2024-12-10,4,990.29
51,87,35,2,2023-04-16,2,794.71
52,51,284,3,2023-04-11,3,819.96
53,56,359,3,2023-12-25,2,392.26
54,83,381,4,2023-11-25,3,264.97
55,62,358,2,2024-09-09,1,602.28
56,32,393,2,2024-01-30,2,880.24
57,30,460,2,2023-02-04,2,728.44
58,29,399,1,2023-06-06,3,477.45
